accelerationTimestamp,accelerationX,accelerationY,accelerationZ,angularSpeedTimestamp,angularSpeedX,angularSpeedY,angularSpeedZ,temperatureTimestamp,temperature
11277825070,-1.6701902,13.854444,0.6652047,11277825070,-0.21135938,-0.893085,0.27366763,11277825070,49.734375
11277827642,-1.6941184,13.8448715,0.5886344,11277827642,-0.19303341,-0.90041536,0.27488935,11277827642,49.777344
11277829555,-1.7228323,13.883157,0.4642076,11277829555,-0.17959438,-0.906524,0.27977628,11277829555,49.777344
11277831794,-1.7515461,13.763515,0.4019942,11277831794,-0.16493362,-0.9101892,0.28221974,11277831794,49.777344
11277834032,-1.7850457,13.610375,0.29192436,11277834032,-0.14538592,-0.9138544,0.28344148,11277834032,49.777344
11277836271,-1.8041883,13.53859,0.2440679,11277836271,-0.12461651,-0.91996306,0.28344148,11277836271,49.777344
11277838512,-1.7802601,13.524234,0.17706887,11277838512,-0.10873401,-0.9236283,0.2846632,11277838512,49.777344
11277840751,-1.7467605,13.471592,0.16749759,11277840751,-0.095294975,-0.9272934,0.2846632,11277840751,49.777344
11277842990,-1.7084754,13.471592,0.17228323,11277842990,-0.07819075,-0.9297369,0.2883284,11277842990,49.777344
11277845229,-1.6414764,13.457234,0.10049855,11277845229,-0.06841691,-0.9285152,0.29077184,11277845229,49.691406
11277847677,-1.6845472,13.423735,0.05742774,11277847677,-0.06352998,-0.9285152,0.29443705,11277847677,49.691406
11277849730,-1.6893328,13.423735,0.009571291,11277849730,-0.056199603,-0.9297369,0.2968805,11277849730,49.691406
11277851969,-1.6749759,13.409378,-0.09571291,11277851969,-0.05375614,-0.9236283,0.3005457,11277851969,49.691406
11277854207,-1.6845472,13.27538,-0.07178468,11277854207,-0.05009095,-0.91874135,0.30298916,11277854207,49.691406
11277856446,-1.6558332,13.265809,-0.10049855,11277856446,-0.039095376,-0.91629785,0.30298916,11277856446,49.691406
11277858677,-1.6462619,13.280166,-0.076570325,11277858677,-0.035430185,-0.9077458,0.30665436,11277858677,49.691406
11277860916,-1.6606189,13.155739,-0.014356935,11277860916,-0.029321533,-0.90408057,0.30909783,11277860916,49.691406
11277863155,-1.6223338,13.160524,-0.009571291,11277863155,-0.02687807,-0.89552844,0.31398472,11277863155,49.6875
11277865394,-1.5840486,13.217953,0,11277865394,-0.02687807,-0.8918633,0.31520647,11277865394,49.6875
11277867679,-1.564906,13.055241,0.014356935,11277867679,-0.030543262,-0.88453287,0.31887165,11277867679,49.6875
11277869895,-1.5409778,12.9021,-0.062213387,11277869895,-0.034208454,-0.8723156,0.32253686,11277869895,49.6875
11277872134,-1.4739788,12.906885,-0.11006984,11277872134,-0.029321533,-0.8698721,0.32253686,11277872134,49.6875
11277874373,-1.4883357,12.949956,-0.09092726,11277874373,-0.029321533,-0.86376345,0.32498032,11277874373,49.6875
11277876611,-1.4787644,12.926028,-0.1052842,11277876611,-0.028099801,-0.8564331,0.32742378,11277876611,49.6875
11277878842,-1.4404793,12.997812,-0.16271193,11277878842,-0.028099801,-0.8503244,0.32986724,11277878842,49.6875
11277881080,-1.4404793,13.016955,-0.17706887,11277881080,-0.028099801,-0.8417723,0.32986724,11277881080,49.75
11277883319,-1.4261223,13.103097,-0.22013968,11277883319,-0.03176499,-0.83199847,0.3286455,11277883319,49.75
