quaternionTimestamp,quaternionX,quaternionY,quaternionZ,quaternionW,magneticFieldTimestamp,magneticFieldX,magneticFieldY,magneticFieldZ,accelerationTimestamp,accelerationX,accelerationY,accelerationZ,angularSpeedTimestamp,angularSpeedX,angularSpeedY,angularSpeedZ
10062840745,0.6943714,-0.24553645,-0.28620115,0.6129023,10062840745,0.22793654,0.39799285,-0.2952601,10062840745,0.936946,-9.782295,0.8359899,10062840745,0.00015551131,-0.0023483858,-0.00030809827
10062850706,0.69437104,-0.24554542,-0.28620586,0.61289686,10062850706,0.22683927,0.39905018,-0.29287365,10062850706,0.9344965,-9.792672,0.79687065,10062850706,0.00023956224,-0.0005209567,-0.00043085404
10062860293,0.6943671,-0.24554116,-0.2862103,0.612901,10062860293,0.22570641,0.39695486,-0.29532918,10062860293,0.9322829,-9.763743,0.81764877,10062860293,-0.0003657164,-0.0011505531,-0.0007730648
10062870467,0.69436246,-0.24556234,-0.2862142,0.61289597,10062870467,0.22901435,0.39588395,-0.29535842,10062870467,0.93421745,-9.786291,0.82503104,10062870467,0.00051485095,-0.0020384453,0.0009469539
10062880439,0.6943565,-0.24556795,-0.28622448,0.61289567,10062880439,0.23014145,0.39692897,-0.29763857,10062880439,0.95267403,-9.768855,0.8302671,10062880439,7.272046e-05,-0.0016137287,-0.00025314465
10062890423,0.694356,-0.24557275,-0.28622693,0.61289316,10062890423,0.22682434,0.39799902,-0.2929268,10062890423,0.9404483,-9.769829,0.8246584,10062890423,0.00042344164,-0.0019364338,0.00068216026
10062900442,0.69435215,-0.24558017,-0.286226,0.61289495,10062900442,0.22787009,0.39378753,-0.29196075,10062900442,0.93769765,-9.763124,0.84101176,10062900442,0.00084713195,-0.0012853192,0.000889956
10062910651,0.69435513,-0.24559239,-0.28622228,0.61288846,10062910651,0.2267556,0.3937935,-0.28845683,10062910651,0.94801116,-9.762421,0.85365117,10062910651,0.00025740825,-0.0012076739,0.0002791239
10062920558,0.6943568,-0.24559124,-0.2862371,0.61288005,10062920558,0.22568238,0.3959028,-0.29069978,10062920558,0.9604889,-9.756765,0.85911906,10062920558,0.0004011253,-0.0012175292,-0.0010589045
10062930562,0.6943603,-0.24560434,-0.28624785,0.6128658,10062930562,0.2279148,0.396941,-0.29180133,10062930562,0.939175,-9.758253,0.86846155,10062930562,0.0006691506,-0.0018886467,-0.0009532841
10062940478,0.69436365,-0.24560079,-0.28625327,0.612861,10062940478,0.22797899,0.4011461,-0.29393005,10062940478,0.97460675,-9.725177,0.8340921,10062940478,-0.00032508653,-0.0010876628,-0.000252028
10062950390,0.6943623,-0.24559931,-0.28626353,0.6128583,10062950390,0.22904415,0.39798626,-0.29525214,10062950390,0.94621676,-9.760215,0.85645294,10062950390,-0.00079068914,-0.0005061198,-0.00036917534
10062960470,0.69436955,-0.2456018,-0.28626105,0.6128502,10062960470,0.22565943,0.39380118,-0.29431796,10062960470,0.9568502,-9.757551,0.87243843,10062960470,-9.131245e-05,0.0006998386,-0.00013307668
10062970396,0.69437724,-0.24560985,-0.28626144,0.6128381,10062970396,0.22792621,0.39694214,-0.2976545,10062970396,0.9625388,-9.761349,0.85649055,10062970396,-3.9971434e-05,0.0006714305,-0.00016756915
10062980480,0.6943849,-0.24560301,-0.28625304,0.6128361,10062980480,0.22900175,0.39483303,-0.29658216,10062980480,0.936981,-9.761126,0.824629,10062980480,0.001220515,0.0011999309,-0.0007586377
10062990430,0.69438297,-0.2456007,-0.28624958,0.61284083,10062990430,0.22684155,0.39905038,-0.29404426,10062990430,0.9293122,-9.763209,0.82257986,10062990430,-0.0010005403,0.0019938396,-0.0005961945
10063000337,0.69437945,-0.24559867,-0.2862559,0.61284256,10063000337,0.23016211,0.3990304,-0.29284975,10063000337,0.95396787,-9.740714,0.8221774,10063000337,4.0561892e-05,-9.489246e-06,-0.00012109056
10063010544,0.6943764,-0.24559703,-0.2862504,0.61284924,10063010544,0.2290568,0.3990372,-0.29402837,10063010544,0.92044157,-9.780571,0.8505272,10063010544,-0.0011988664,0.001798301,-0.0011706408
10063020335,0.69437456,-0.24560136,-0.28624752,0.61285096,10063020335,0.22904415,0.39798626,-0.29525214,10063020335,0.92796487,-9.78688,0.83601874,10063020335,0.00021239463,0.00047450513,0.00073395297
10063030533,0.69437295,-0.24560449,-0.28624785,0.6128514,10063030533,0.22792621,0.39694214,-0.2976545,10063030533,0.9488516,-9.777715,0.8488621,10063030533,0.0007934859,0.00021196622,-5.9309416e-05
10063040436,0.6943759,-0.24560407,-0.2862511,0.61284673,10063040436,0.22793426,0.39799264,-0.29408947,10063040436,0.9789309,-9.776985,0.8734819,10063040436,0.0013192147,0.0006989436,-0.00013075303
10063050462,0.6943816,-0.24560237,-0.28624576,0.6128434,10063050462,0.22791706,0.39694127,-0.29297197,10063050462,0.9387979,-9.787355,0.8463902,10063050462,-0.0007737959,-0.0011128159,-0.00023489445
10063060401,0.69437975,-0.24560682,-0.2862419,0.61284554,10063060401,0.22683927,0.39905018,-0.29287365,10063060401,0.93431526,-9.785333,0.8358725,10063060401,0.0003339667,-0.00025982875,-8.28756e-05
10063070465,0.69438684,-0.24560338,-0.2862313,0.6128439,10063070465,0.22904873,0.39798668,-0.29759338,10063070465,0.9290708,-9.787596,0.8446593,10063070465,0.0009349948,0.00092371274,-0.00042130984
10063080291,0.69438726,-0.24560149,-0.28621778,0.6128505,10063080291,0.22679687,0.3958969,-0.2942037,10063080291,0.94037884,-9.790054,0.83209175,10063080291,-7.942505e-05,0.0022715284,0.00019632932
10063090951,0.69438607,-0.24559927,-0.28622282,0.61285037,10063090951,0.22790447,0.39589033,-0.29419577,10063090951,0.9757949,-9.784371,0.8472879,10063090951,-0.00057207607,0.00044210348,-0.0013074605
10063100333,0.694389,-0.24559909,-0.28622296,0.6128471,10063100333,0.2278678,0.39378732,-0.2907901,10063100333,0.93858075,-9.761047,0.8701678,10063100333,0.000279353,-0.00041659456,-0.00045612082
10063110551,0.6943884,-0.2455941,-0.2862305,0.61284626,10063110551,0.22677965,0.39484555,-0.2930862,10063110551,0.94459724,-9.755643,0.84249556,10063110551,9.962358e-06,0.00065182056,-0.0011368943
10063120337,0.69438636,-0.24559574,-0.28623286,0.6128467,10063120337,0.22785516,0.39273638,-0.2920139,10063120337,0.95710427,-9.774398,0.8052331,10063120337,-0.00054043066,0.0002924977,8.281134e-05
10063130450,0.69438887,-0.24559295,-0.28622943,0.6128466,10063130450,0.22788268,0.39483848,-0.29073697,10063130450,0.94645303,-9.759206,0.8585314,10063130450,0.00036377087,0.0015406376,6.386265e-05
10063140600,0.6943932,-0.24559243,-0.2862287,0.6128422,10063140600,0.22454266,0.39380687,-0.2896434,10063140600,0.95309854,-9.745182,0.8646407,10063140600,0.0010578334,0.0015443359,-0.0008955514
10063150394,0.6943998,-0.24559326,-0.28622603,0.61283565,10063150394,0.22676247,0.39379412,-0.2919687,10063150394,0.9369872,-9.784312,0.87223023,10063150394,0.0012317933,0.00029587094,-0.00033601373
10063160479,0.6944004,-0.24559273,-0.2862272,0.61283463,10063160479,0.22680718,0.3969476,-0.29180932,10063160479,0.9678686,-9.759401,0.8232444,10063160479,5.1318668e-05,0.0010245591,-0.00054953713
10063170395,0.69439995,-0.24557576,-0.2862206,0.61284506,10063170395,0.22908203,0.40113905,-0.29158083,10063170395,0.97727203,-9.768698,0.8231198,10063170395,-0.00059978385,0.002034218,0.000815765
10063180365,0.694404,-0.24556494,-0.28621387,0.612848,10063180365,0.22788152,0.39378867,-0.2978139,10063180365,0.97968805,-9.767248,0.8216133,10063180365,-0.0003471747,0.001395979,0.0007507475
10063190531,0.69440943,-0.24555962,-0.28621382,0.612844,10063190531,0.2301323,0.3969281,-0.29295605,10063190531,0.98152363,-9.753552,0.8387071,10063190531,0.00025474653,0.0022937516,-0.0002977606
10063200320,0.6944114,-0.24556285,-0.28621373,0.6128404,10063200320,0.22791249,0.3969408,-0.29063073,10063200320,0.94638485,-9.749273,0.8448089,10063200320,0.00014354382,0.001433148,0.0010137782
10063210435,0.6944091,-0.24555828,-0.2862093,0.61284703,10063210435,0.22571903,0.3980058,-0.29410538,10063210435,0.9477066,-9.772008,0.8300435,10063210435,-0.0002759155,-0.00012777932,0.00017458014
10063220443,0.69440514,-0.24555986,-0.28620625,0.61285233,10063220443,0.22795147,0.399044,-0.29520696,10063220443,0.96483356,-9.75095,0.801596,10063220443,0.00077227317,-0.00057774317,0.00032981485
10063230433,0.69439995,-0.24556717,-0.2862122,0.6128524,10063230433,0.23011741,0.3958769,-0.2930092,10063230433,0.94074005,-9.793906,0.81484884,10063230433,0.00036456995,-0.00063310843,0.0011603832
10063240553,0.69439816,-0.2455641,-0.2862096,0.6128569,10063240553,0.22794919,0.3990438,-0.2940363,10063240553,0.954089,-9.770453,0.8392613,10063240553,0.00032032933,-0.0001549013,5.13494e-05
10063250460,0.69439524,-0.24556565,-0.28621158,0.6128587,10063250460,0.22682665,0.39799923,-0.2940974,10063250460,0.94457793,-9.754995,0.8027487,10063250460,-0.00014706608,0.0007137563,0.000120417215
10063260291,0.6943907,-0.24556623,-0.28621325,0.6128629,10063260291,0.22902468,0.3969347,-0.29296404,10063260291,0.95051163,-9.779992,0.8051331,10063260291,0.00038743857,-0.000525007,0.0004921388
10063270583,0.69438314,-0.24556862,-0.28621587,0.6128692,10063270583,0.22905907,0.39903742,-0.295199,10063270583,0.9592694,-9.788642,0.8047761,10063270583,0.00045965426,-0.001767898,7.430464e-05
10063280293,0.69438213,-0.24557099,-0.2862142,0.6128702,10063280293,0.23014718,0.39797926,-0.2929029,10063280293,0.9620067,-9.793718,0.84187615,10063280293,0.00039647147,0.00015980657,2.2837892e-05
10063290462,0.6943842,-0.24557091,-0.28621775,0.61286616,10063290462,0.22904415,0.39798626,-0.29525214,10063290462,0.9371637,-9.775334,0.85088253,10063290462,2.8468668e-05,-0.00041567627,-0.00042848848
10063300442,0.69437736,-0.24557668,-0.28622422,0.61286867,10063300442,0.23011741,0.3958769,-0.2930092,10063300442,0.9535661,-9.772618,0.78937864,10063300442,0.0007069418,-0.0012869667,8.23196e-06
10063310433,0.69437665,-0.24557394,-0.28623068,0.61286753,10063310433,0.22571903,0.3980058,-0.29410538,10063310433,0.9767092,-9.794669,0.8416228,10063310433,0.0009177588,-0.0014694976,-0.00044736732
10063320443,0.69437593,-0.24558409,-0.28623626,0.6128617,10063320443,0.22796635,0.40009516,-0.29515383,10063320443,0.94492185,-9.784797,0.8500404,10063320443,0.00012676977,-0.0018750401,-0.00066946074
10063330445,0.6943786,-0.24559462,-0.28623995,0.6128527,10063330445,0.2290545,0.39903697,-0.29285774,10063330445,0.9205323,-9.768085,0.85365206,10063330445,0.00028897822,-0.0017381748,-0.00029300433
10063340495,0.6943867,-0.24559705,-0.28623384,0.61284536,10063340495,0.22905223,0.39903674,-0.2916871,10063340495,0.96536267,-9.777583,0.87014264,10063340495,0.00068478193,-0.0012252405,5.098339e-05
10063350515,0.6943941,-0.24559526,-0.28622988,0.6128396,10063350515,0.2290843,0.40113932,-0.29275146,10063350515,0.94966537,-9.775166,0.8744935,10063350515,0.0015579555,-0.0012819953,-0.0009904811
10063360359,0.69439733,-0.24559288,-0.28623077,0.6128365,10063360359,0.22791937,0.39694148,-0.29414263,10063360359,0.9544492,-9.768448,0.8234843,10063360359,0.00090388115,-0.00037892256,-8.4195286e-05
10063370503,0.6943987,-0.2455883,-0.2862237,0.61284,10063370503,0.2279251,0.39799172,-0.28940693,10063370503,0.94481593,-9.763071,0.86705506,10063370503,-0.0006568674,-0.0002578562,0.00029882882
10063380364,0.69440174,-0.24559654,-0.286226,0.61283225,10063380364,0.2301323,0.3969281,-0.29295605,10063380364,0.9536717,-9.752003,0.8690653,10063380364,6.328989e-05,0.00077989604,0.000225625
10063390386,0.694411,-0.24559505,-0.2862147,0.61282766,10063390386,0.23010479,0.394826,-0.29423293,10063390386,0.950708,-9.743695,0.8444262,10063390386,0.0010271734,0.00045164023,-0.00029304437
10063400484,0.6944137,-0.2455832,-0.2862085,0.6128322,10063400484,0.22565256,0.3938005,-0.29080608,10063400484,0.95818067,-9.752492,0.8336772,10063400484,-0.0008460507,0.0010336861,6.473996e-05
10063410439,0.69441086,-0.24558228,-0.28620812,0.61283594,10063410439,0.22676018,0.3937939,-0.29079807,10063410439,0.9327873,-9.750914,0.8068453,10063410439,-0.00048422348,1.3643876e-05,-0.00034851767
10063420335,0.6944078,-0.24558166,-0.2862028,0.61284214,10063420335,0.22674756,0.39274296,-0.29202187,10063420335,0.92691123,-9.754076,0.8294394,10063420335,4.5802444e-05,0.0013060737,0.0010649022
10063430680,0.69440454,-0.24558015,-0.28620335,0.6128462,10063430680,0.22677279,0.39484483,-0.28957433,10063430680,0.9585823,-9.745889,0.85817885,10063430680,0.00051257946,-0.00016569905,0.00018536858
10063440299,0.6944029,-0.24557528,-0.2862033,0.61284995,10063440299,0.22682665,0.39799923,-0.2940974,10063440299,0.95960057,-9.773867,0.82651806,10063440299,-0.00013159681,0.00023199059,0.00023141317
10063450576,0.6944032,-0.24558154,-0.2862073,0.61284536,10063450576,0.23016441,0.39903063,-0.29402038,10063450576,0.9614382,-9.748949,0.8437804,10063450576,0.0011734348,-0.00043986738,-0.00036761817
10063460289,0.6944093,-0.24557717,-0.2862042,0.6128416,10063460289,0.23014492,0.397979,-0.29173228,10063460289,0.957281,-9.749754,0.828075,10063460289,0.0011242246,-0.00011530239,-0.00047059264
10063470473,0.6944094,-0.24556793,-0.28620666,0.61284405,10063470473,0.22793078,0.3969426,-0.29999578,10063470473,0.95258844,-9.753774,0.80188376,10063470473,-0.0001299642,-0.00034754165,-0.000120965764
10063480412,0.69439995,-0.2455818,-0.28621584,0.6128448,10063480412,0.22793426,0.39799264,-0.29408947,10063480412,0.95667475,-9.7848,0.82661146,10063480412,0.0017576059,0.0004136702,0.000987581
10063490465,0.69439274,-0.24558471,-0.28621894,0.61285037,10063490465,0.22791937,0.39694148,-0.29414263,10063490465,0.93210477,-9.762118,0.8068283,10063490465,-0.001366864,0.00032096822,0.00032286532
10063500440,0.6943899,-0.24559641,-0.28622296,0.61284715,10063500440,0.22789532,0.39588943,-0.28951323,10063500440,0.9454466,-9.76969,0.86833596,10063500440,-0.00018095225,-0.00044004153,0.00038811378
10063510442,0.69439423,-0.24559309,-0.2862181,0.6128457,10063510442,0.22904645,0.39798647,-0.29642275,10063510442,0.9492087,-9.773079,0.8483259,10063510442,-0.0004966166,-0.0005352134,0.00030606054
10063520341,0.6943995,-0.24558666,-0.28621602,0.61284333,10063520341,0.22681403,0.39694828,-0.2953212,10063520341,0.9320951,-9.7682085,0.8657027,10063520341,0.00082127564,0.000461136,-0.00034200773
10063530670,0.6943988,-0.24558668,-0.28620914,0.6128473,10063530670,0.23015754,0.3990299,-0.29050848,10063530670,0.9497857,-9.79851,0.84437907,10063530670,-0.0006631026,0.00083149783,-0.0005001379
10063540370,0.6944008,-0.2455744,-0.28620657,0.6128512,10063540370,0.22793196,0.39799243,-0.2929188,10063540370,0.9259216,-9.786593,0.8215745,10063540370,-0.000458193,-9.33297e-05,-0.0007456364
10063550393,0.69440466,-0.24557325,-0.286203,0.6128489,10063550393,0.22681403,0.39694828,-0.2953212,10063550393,0.9521105,-9.802675,0.814741,10063550393,0.00036513712,-6.495975e-06,-0.00031815656
10063560479,0.69440866,-0.24556337,-0.28620136,0.6128492,10063560479,0.22901782,0.396934,-0.28945214,10063560479,0.94671005,-9.7811165,0.8145029,10063560479,0.0005528042,0.0009111073,0.00026308466
10063570396,0.694411,-0.24555205,-0.2861912,0.61285585,10063570396,0.23233263,0.39586383,-0.29299325,10063570396,0.96297175,-9.762319,0.8109883,10063570396,0.0002194941,0.0015458679,5.0520524e-05
10063580478,0.6944105,-0.2455514,-0.2861911,0.61285657,10063580478,0.23124221,0.3969217,-0.2941187,10063580478,0.94100076,-9.771524,0.85164434,10063580478,-0.0011954233,0.0014037145,-0.00016587228
10063590775,0.69440866,-0.24554779,-0.28618562,0.6128627,10063590775,0.22899717,0.39483258,-0.29424092,10063590775,0.9550126,-9.757381,0.8015057,10063590775,-0.00020721834,0.0020718528,7.9885125e-05
10063600379,0.6944131,-0.2455421,-0.28618342,0.612861,10063600379,0.22677508,0.39484507,-0.29074496,10063600379,0.96886456,-9.750335,0.85678816,10063600379,-0.0006410433,0.0014152592,-7.559545e-05
10063610551,0.69442046,-0.24553251,-0.2861709,0.6128624,10063610551,0.22900751,0.39588326,-0.29184654,10063610551,0.9422852,-9.762077,0.8112004,10063610551,-0.00060246326,0.0017315047,-0.00038479175
10063620344,0.69442046,-0.24552758,-0.28617358,0.61286306,10063620344,0.22565486,0.3938007,-0.29197672,10063620344,0.9636157,-9.744943,0.81448084,10063620344,0.00030052103,0.0008485317,1.05453655e-05
10063630679,0.69441396,-0.24552453,-0.28618008,0.61286867,10063630679,0.22566976,0.39485186,-0.29192355,10063630679,0.9683212,-9.736601,0.8288749,10063630679,-0.0009007035,0.00032420922,-0.00024899002
