accelerationTimestamp,accelerationX,accelerationY,accelerationZ,angularSpeedTimestamp,angularSpeedX,angularSpeedY,angularSpeedZ,temperatureTimestamp,temperature
7000503387,-1.6283158,20.27319,0.44027936,7000503387,1.310306,-0.57604593,0.6963864,7000503387,41.53125
7000512605,-2.0482562,19.67618,0.42831525,7000512605,1.3023647,-0.6249151,0.72326446,7000512605,41.53125
7000521810,-2.0733807,19.544575,-0.058624156,7000521810,1.2528846,-0.66523224,0.7501425,7000521810,41.566406
7000531036,-1.9058832,19.247866,0.021535404,7000531036,1.2455542,-0.7079928,0.7806858,7000531036,41.566406
7000540255,-2.0673988,18.599411,-0.16749759,7000540255,1.1972959,-0.75686204,0.8081747,7000540255,41.53125
7000549463,-1.6223338,18.56232,-0.19740787,7000549463,1.1746938,-0.7984009,0.8216137,7000549463,41.53125
7000558666,-1.5936198,18.218952,-0.07058827,7000558666,1.1343768,-0.8344419,0.82711154,7000558666,41.546875
7000567898,-1.3447664,18.09572,0.076570325,7000567898,1.1068878,-0.86193085,0.8240572,7000567898,41.546875
7000577098,-1.3830515,17.97967,-0.038285162,7000577098,1.074512,-0.8949176,0.8081747,7000577098,41.546875
7000586308,-1.4715859,17.797815,0.022731815,7000586308,1.0659598,-0.9279043,0.79045963,7000586308,41.546875
7000595521,-1.570888,17.771494,-0.26799613,7000595521,1.0415252,-0.96577793,0.7635816,7000595521,41.539062
7000604746,-1.5529419,17.598015,-0.33499518,7000604746,1.0433578,-0.9999864,0.73426,7000604746,41.539062
7000613956,-1.6522441,17.380268,-0.28713873,7000613956,1.033584,-1.028697,0.7098254,7000613956,41.57422
7000623167,-1.6031911,17.481962,-0.21655045,7000623167,1.0134255,-1.0604621,0.679893,7000623167,41.57422
7000632392,-1.5481563,17.292929,0.049052864,7000632392,1.0213667,-1.0946705,0.6536258,7000632392,41.53125
7000641609,-1.5397813,17.249859,0.09571291,7000641609,1.0134255,-1.133155,0.61941737,7000641609,41.53125
7000650809,-1.2669996,17.22593,0.083748795,7000650809,1.0317514,-1.1710287,0.57971114,7000650809,41.515625
7000660019,-1.2634103,17.507088,0.2727818,7000660019,1.0372492,-1.1942415,0.54183745,7000660019,41.515625
7000669248,-1.1581261,17.741583,0.20578274,7000669248,1.0396926,-1.2168436,0.50762904,7000669248,41.57422
7000678465,-1.2562319,17.78226,0.485743,7000678465,1.0586295,-1.2394456,0.47647488,7000678465,41.57422
7000687682,-1.2454642,17.917456,0.6412765,7000687682,1.0635164,-1.260215,0.44593164,7000687682,41.554688
