quaternionTimestamp,quaternionX,quaternionY,quaternionZ,quaternionW,magneticFieldTimestamp,magneticFieldX,magneticFieldY,magneticFieldZ,accelerationTimestamp,accelerationX,accelerationY,accelerationZ,angularSpeedTimestamp,angularSpeedX,angularSpeedY,angularSpeedZ
6728923573,-0.70001096,0.17489472,0.2337703,-0.6517269,6728923573,0.2424907,0.42206568,-0.19794255,6728923573,1.0308495,-9.749971,0.398862,6728923573,-5.9342943e-05,0.002491993,-0.00060572475
6728933225,-0.7000163,0.17486665,0.23374957,-0.65173614,6728933225,0.24578834,0.41994402,-0.2003662,6728933225,0.9112791,-9.76184,0.3904037,6728933225,0.0001370553,0.008496801,-0.00048690103
6728943357,-0.7000236,0.17484114,0.23372193,-0.6517451,6728943357,0.24350317,0.41470188,-0.20298912,6728943357,0.937412,-9.759906,0.38916624,6728943357,-0.00032921322,0.009057539,-0.0008607162
6728952931,-0.7000252,0.1748449,0.2337191,-0.65174335,6728952931,0.24460162,0.4146944,-0.19829865,6728952931,1.0067786,-9.740347,0.48177168,6728952931,-0.00041279104,-0.00024847686,0.0008704392
6728963105,-0.700026,0.17486581,0.23372988,-0.6517331,6728963105,0.24243112,0.41786104,-0.19815512,6728963105,1.0073941,-9.793955,0.3118183,6728963105,0.0025518266,-0.0062550325,0.0018028002
6728972948,-0.7000126,0.1748751,0.23373945,-0.6517415,6728972948,0.24356852,0.41995677,-0.19804087,6728972948,0.9595389,-9.81419,0.3041643,6728972948,-0.00035168417,-0.002574726,-6.4456835e-05
6728983322,-0.70001334,0.17486648,0.23373874,-0.6517433,6728983322,0.24579065,0.41994426,-0.20153683,6728983322,0.9419712,-9.794781,0.36733955,6728983322,0.00019589532,0.0013740379,-0.0010477761
6728992938,-0.7000141,0.1748722,0.23375434,-0.6517353,6728992938,0.2446658,0.41889945,-0.20042734,6728992938,1.0141083,-9.771548,0.39574262,6728992938,-0.00012921914,-0.0025716461,-0.0010963688
6729003210,-0.7000027,0.17489737,0.23378316,-0.6517306,6729003210,0.26571506,0.41877475,-0.20261724,6729003210,0.96828055,-9.742992,0.4133495,6729003210,-0.0009237863,-0.010412549,-0.00043042935
6729013073,-0.6999794,0.17494795,0.23382726,-0.65172607,6729013073,0.2480414,0.42308366,-0.19667897,6729013073,0.9403364,-9.737776,0.38281748,6729013073,-0.0012705373,-0.011929072,0.0010428745
